train_or_test,Simulation_Number,Maze_Name,Step_Size,Side_Length,Total_Length,Corner,Width,Height,Fillet_Radius,Simulation_Resistance,Best_Model
train,5865,Maze_79,1.5,7.5,7.5,0,40.0,400.0,0.0,0.590363102426146,ExtraTreesRegressor
train,4725,Maze_99,1.0,9.0,29.0,18,155.0,220.0,135.625,0.105165752051773,ExtraTreesRegressor
train,229,Maze_5,0.5,3.5,8.5,12,197.5,40.0,123.4375,1.26773052292504,ExtraTreesRegressor
train,1372,Maze_19,0.5,16.5,16.5,0,100.0,150.0,0.0,0.330011465264213,ExtraTreesRegressor
train,7682,Maze_103,1.5,9.0,9.0,0,150.0,50.0,0.0,1.16276547109108,ExtraTreesRegressor
train,5297,Maze_71,1.0,11.0,27.0,14,200.0,50.0,150.0,1.88520241584792,ExtraTreesRegressor
train,3211,Maze_43,0.75,6.75,12.75,12,308.0,40.0,192.5,1.13440176257298,ExtraTreesRegressor
train,7013,Maze_94,1.5,15.0,36.0,16,324.0,220.0,243.0,0.0302418250929032,ExtraTreesRegressor
train,3158,Maze_43,0.5,16.5,39.5,50,50.0,150.0,37.5,4.64301552453048,ExtraTreesRegressor
train,3503,Maze_73,0.75,17.25,65.25,58,291.25,582.5,218.4375,0.0109455238079934,ExtraTreesRegressor
train,4522,Maze_95,1.0,7.0,11.0,8,40.0,80.0,25.0,5.36394691303604,ExtraTreesRegressor
train,7908,Maze_106,1.75,10.5,17.5,6,374.0,40.0,327.25,0.766163501408912,ExtraTreesRegressor
train,2402,Maze_51,0.75,5.25,12.75,10,40.0,40.0,30.0,19.8210662215752,ExtraTreesRegressor
train,6822,Maze_91,1.5,13.5,37.5,14,608.0,310.0,532.0,0.0050672102512031,ExtraTreesRegressor
test,7410,Maze_99,1.75,5.25,8.75,4,541.0,400.0,473.375,0.0008627445054385,RandomForestRegressor
train,4664,Maze_63,1.0,7.0,13.0,8,50.0,250.0,37.5,0.848040392242874,ExtraTreesRegressor
train,437,Maze_6,0.5,4.5,12.5,16,250.0,50.0,187.5,0.724430181282474,ExtraTreesRegressor
train,3786,Maze_79,0.75,19.5,51.0,40,291.25,220.833333333333,254.84374999999997,0.0494533380343977,ExtraTreesRegressor
train,56,Maze_2,0.5,1.5,1.5,0,40.0,66.6666666666667,0.0,0.996955884889701,ExtraTreesRegressor
train,2341,Maze_49,0.75,5.25,6.75,4,291.25,40.0,182.03125,0.604748836789821,ExtraTreesRegressor
train,3596,Maze_75,0.75,17.25,75.75,58,291.25,401.666666666667,218.4375,0.0226746023866182,ExtraTreesRegressor
train,3083,Maze_42,0.75,6.0,22.5,20,40.0,220.0,30.0,3.27446249288648,ExtraTreesRegressor
train,4153,Maze_56,1.0,6.0,16.0,10,100.0,250.0,62.5,0.148235450028253,ExtraTreesRegressor
train,2825,Maze_105,1.5,13.5,37.5,14,276.666666666667,400.0,207.5,0.0130831635094077,ExtraTreesRegressor
train,5754,Maze_77,1.0,13.0,63.0,40,200.0,150.0,175.0,0.285255067275565,ExtraTreesRegressor
train,6181,Maze_83,1.5,9.0,18.0,8,324.0,40.0,202.5,1.27930957733514,ExtraTreesRegressor
train,6589,Maze_88,1.0,17.0,29.0,20,250.0,100.0,156.25,0.264531642573383,ExtraTreesRegressor
train,8496,Maze_177,1.5,9.0,12.0,4,572.5,1145.0,500.93750000000006,0.0001809443724874,ExtraTreesRegressor
train,7304,Maze_98,1.75,5.25,5.25,0,207.0,400.0,0.0,0.0038831524244229,ExtraTreesRegressor
train,4250,Maze_57,1.0,16.0,16.0,0,200.0,100.0,0.0,0.218835156282623,ExtraTreesRegressor
train,7294,Maze_98,1.75,5.25,5.25,0,207.0,130.0,0.0,0.0355213451432234,ExtraTreesRegressor
