MazeID,StepSize,SideLength,Coordinates
Maze_114,1.75,14,0 7*1.75 7*1.75 5.25*1.75 3.5*3.5 3.5*3.5 5.25*5.25 5.25*5.25 3.5*5.25 1.75*7 1.75*8.75 1.75*8.75 3.5*10.5 3.5*10.5 1.75*12.25 1.75*12.25 3.5*12.25 5.25*12.25 7*14 7
Maze_115,1.75,15.75,0 7.875*1.75 7.875*3.5 7.875*5.25 7.875*5.25 9.625*3.5 9.625*1.75 9.625*1.75 11.375*3.5 11.375*5.25 11.375*7 11.375*7 9.625*7 7.875*8.75 7.875*10.5 7.875*10.5 9.625*10.5 11.375*12.25 11.375*14 11.375*14 9.625*14 7.875*15.75 7.875
Maze_116,1.75,15.75,0 7.875*1.75 7.875*3.5 7.875*3.5 9.625*1.75 9.625*1.75 11.375*3.5 11.375*3.5 13.125*1.75 13.125*1.75 14.875*3.5 14.875*5.25 14.875*7 14.875*7 13.125*8.75 13.125*8.75 14.875*10.5 14.875*10.5 13.125*10.5 11.375*10.5 9.625*12.25 9.625*12.25 7.875*12.25 6.125*14 6.125*14 7.875*15.75 7.875
Maze_117,1.75,15.75,0 7.875*1.75 7.875*1.75 6.125*1.75 4.375*3.5 4.375*3.5 2.625*1.75 2.625*1.75 0.875*3.5 0.875*5.25 0.875*5.25 2.625*5.25 4.375*7 4.375*7 2.625*7 0.875*8.75 0.875*8.75 2.625*8.75 4.375*10.5 4.375*12.25 4.375*12.25 6.125*14 6.125*14 7.875*15.75 7.875
Maze_118,1.75,17.5,0 8.75*1.75 8.75*1.75 10.5*1.75 12.25*1.75 14*1.75 15.75*3.5 15.75*5.25 15.75*7 15.75*7 14*8.75 14*8.75 15.75*10.5 15.75*10.5 14*12.25 14*12.25 12.25*10.5 12.25*10.5 10.5*10.5 8.75*12.25 8.75*12.25 10.5*14 10.5*15.75 10.5*15.75 8.75*17.5 8.75
Maze_119,1.75,17.5,0 8.75*1.75 8.75*3.5 8.75*5.25 8.75*5.25 7*7 7*7 5.25*7 3.5*8.75 3.5*8.75 5.25*8.75 7*8.75 8.75*7 8.75*7 10.5*5.25 10.5*3.5 10.5*3.5 12.25*3.5 14*3.5 15.75*5.25 15.75*7 15.75*7 14*5.25 14*5.25 12.25*7 12.25*8.75 12.25*8.75 10.5*10.5 10.5*12.25 10.5*14 10.5*15.75 10.5*15.75 8.75*17.5 8.75
Maze_120,1.75,17.5,0 8.75*1.75 8.75*1.75 7*3.5 7*3.5 8.75*3.5 10.5*5.25 10.5*5.25 12.25*5.25 14*5.25 15.75*7 15.75*8.75 15.75*10.5 15.75*12.25 15.75*14 15.75*15.75 15.75*15.75 14*14 14*12.25 14*12.25 12.25*14 12.25*14 10.5*14 8.75*15.75 8.75*17.5 8.75
Maze_121,2,6,0 3*2 3*2 1*4 1*4 3*6 3
Maze_122,2,6,0 3*2 3*2 1*4 1*4 3*6 3
Maze_123,2,6,0 3*2 3*4 3*6 3
